t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
33,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.7839195979899497,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8291457286432161,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8944723618090452,0.0,0,0,0.0,0.0
34,|,8.0,[0],8.0,8.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.7874396135265701,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8309178743961353,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.893719806763285,-1.0,0,0.0,0.0,0.0
35,|,1.0,[0],1.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,1.0,0.7884615384615384,5.0,50.0,0,0.0,50.0,|,1.0,[0],1.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,1.0,0.8317307692307693,5.0,25.0,0,0.0,25.0,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,2.0,1.0,0.8942307692307693,6.0,6.0,0,0.0,6.0
36,|,6.0,[0],6.0,6.0,2.0,"[0, 6.0, 0]",0.0,6.0,6.0,0.794392523364486,1.0,10.0,0,0.0,10.0,|,6.0,[0],6.0,6.0,2.0,"[0, 6.0, 0]",0.0,6.0,6.0,0.8364485981308412,1.0,5.0,0,0.0,5.0,|,6.0,[0],6.0,6.0,1.0,"[0, 6.0, 0]",0.0,6.0,6.0,0.897196261682243,1.0,1.0,0,0.0,1.0
37,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.7981651376146789,3.0,30.0,0,0.0,30.0,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.8394495412844036,3.0,15.0,0,0.0,15.0,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.8990825688073395,3.0,3.0,0,0.0,3.0
38,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8026905829596412,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8430493273542601,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9013452914798207,2.0,2.0,0,0.0,2.0
39,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.8044444444444444,5.0,50.0,0,0.0,50.0,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.8444444444444444,5.0,25.0,0,0.0,25.0,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.9022222222222223,5.0,5.0,0,0.0,5.0
40,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8103448275862069,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8491379310344828,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9051724137931034,0.0,0,0,0.0,0.0
41,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.8103448275862069,7.0,70.0,0,0.0,70.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.8491379310344828,7.0,35.0,0,0.0,35.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9051724137931034,7.0,7.0,0,0.0,7.0
42,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8158995815899581,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8535564853556485,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9079497907949791,0.0,0,0,0.0,0.0
