t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
28,|,-2.7079310310365283,9.197931031036529,7.21649324224016,6.730550515737057,6.730550515737057,7.21649324224016,4.508562211203632,0.8967023744399824,-2.2219883045334248,2.2219883045334248,0.0,82.48020586428072,0.0,82.48020586428072,|,-1.9814377887963612,7.511437788796362,5.05484571013866,6.730550515737057,6.730550515737056,5.05484571013866,3.073407921342299,0.8129099721806824,-3.6571425943947578,3.6571425943947578,0.0,0.0,20.21938284055464,20.21938284055464,|,-2.456592078657698,13.146592078657697,6.122740136238133,6.730550515737056,6.730550515737056,6.122740136238133,3.6661480575804353,0.8461855955447866,-3.0644024581566205,3.0644024581566205,0.0,0.0,12.245480272476266,12.245480272476266
29,|,-2.2219883045334248,8.711988304533426,5.05484571013866,5.070894151736557,5.070894151736556,5.05484571013866,2.8328574056052354,0.886131012225763,-2.2380367461313213,2.2380367461313213,0.0,83.07592401639464,0.0,83.07592401639464,|,-3.6571425943947578,9.187142594394757,6.122740136238133,5.070894151736556,5.070894151736557,6.122740136238133,2.4655975418433753,0.802694082560305,-2.6052966098931805,2.6052966098931805,0.0,0.0,24.490960544952532,24.490960544952532,|,-3.0644024581566205,13.754402458156623,7.023851942419555,5.070894151736557,5.070894151736555,7.023851942419555,3.959449484262935,0.8441414831767567,-1.1114446674736218,1.1114446674736218,0.0,0.0,14.04770388483911,14.04770388483911
30,|,-2.2380367461313213,8.72803674613132,6.122740136238133,4.966626021461337,4.966626021461339,6.122740136238133,3.8847033901068118,0.883041224782991,-1.0819226313545256,1.0819226313545256,0.0,40.160968075879985,0.0,40.160968075879985,|,-2.6052966098931805,8.135296609893182,7.023851942419555,4.966626021461339,4.966626021461338,7.023851942419555,4.418555332526375,0.8052782341462071,-0.5480706889349642,0.5480706889349642,0.0,0.0,28.09540776967822,28.09540776967822,|,-1.1114446674736218,11.801444667473625,6.730550515737056,4.966626021461338,4.966626021461335,6.07807068893496,4.966626021461338,0.8487733163666957,0.6524798268020957,0.0,1.3049596536041914,0.0,12.15614137786992,13.461101031474112
31,|,-1.0819226313545256,7.571922631354526,7.023851942419555,5.165155719810016,5.165155719810016,6.247078351164542,5.165155719810016,0.886547597104984,0.7767735912550133,0.0,5.437415138785093,0.0,0.0,5.437415138785093,|,-0.5480706889349642,6.078070688934964,6.07807068893496,5.165155719810016,5.165155719810017,5.713226408744981,5.165155719810016,0.8111159065142057,0.3648442801899794,0.0,1.4593771207599175,0.0,22.852905634979923,24.31228275573984,|,0.6524798268020957,10.037520173197903,5.070894151736555,5.165155719810017,5.165155719810019,5.165155719810017,5.165155719810017,0.8533070254180664,0.5582182587286333,0.0,1.1164365174572666,0.0,10.330311439620035,11.446747957077301
32,|,0.7767735912550133,5.713226408744986,5.713226408744981,3.904665673809358,3.904665673809359,3.904665673809358,3.904665673809358,0.8890618364903287,2.585334326190636,0.0,18.09734028333445,0.0,0.0,18.09734028333445,|,0.3648442801899794,5.165155719810021,5.165155719810017,3.904665673809359,3.904665673809359,3.904665673809359,3.904665673809359,0.8153018013475358,1.6253343261906377,0.0,6.501337304762551,0.0,15.618662695237436,22.119999999999987,|,0.5582182587286333,10.131781741271366,4.966626021461335,3.904665673809359,3.904665673809359,3.904665673809359,3.904665673809359,0.8565579151730288,1.620178606380609,0.0,3.240357212761218,0.0,7.809331347618718,11.049688560379936
33,|,2.585334326190636,3.9046656738093644,3.904665673809359,6.036735493794888,6.036735493794888,6.036735493794888,6.036735493794888,0.8927368731230886,0.45326450620510705,0.0,3.1728515434357494,0.0,0.0,3.1728515434357494,|,1.6253343261906377,3.9046656738093626,3.904665673809359,6.036735493794888,6.036735493794888,5.529999999999997,5.529999999999997,0.8186395419852452,-0.5067354937948911,0.5067354937948911,0.0,0.0,22.119999999999987,22.119999999999987,|,1.620178606380609,9.069821393619392,5.165155719810019,6.036735493794888,6.036735493794886,6.036735493794888,6.036735493794888,0.8613097057177913,0.7485988323957402,0.0,1.4971976647914804,0.0,12.073470987589776,13.570668652381256
34,|,0.45326450620510705,6.036735493794892,5.529999999999997,6.157452333912089,6.15745233391209,5.983264506205104,5.983264506205104,0.8953181387798735,-0.1741878277069855,0.1741878277069855,0.0,6.465852164483301,0.0,6.465852164483301,|,-0.5067354937948911,6.036735493794892,6.036735493794888,6.15745233391209,6.157452333912089,6.036735493794888,5.529999999999997,0.8212366593766072,-0.6274523339120934,0.6274523339120934,0.0,0.0,24.14694197517955,24.14694197517955,|,0.7485988323957402,9.941401167604258,3.904665673809359,6.157452333912089,6.157452333912091,4.653264506205099,4.653264506205099,0.857858272688617,-1.50418782770699,1.50418782770699,0.0,0.0,9.306529012410198,9.306529012410198
35,|,-0.1741878277069855,6.664187827706987,6.036735493794888,3.156213524755379,3.156213524755378,3.3304013524623644,3.156213524755379,0.897043057049107,2.7063341413325235,0.0,18.944338989327665,0.0,0.0,18.944338989327665,|,-0.6274523339120934,6.157452333912094,4.653264506205099,3.156213524755378,3.156213524755378,3.7836658586674714,3.156213524755378,0.8241822714293209,0.8695986475376278,0.0,3.4783945901505113,0.0,15.134663434669886,18.613058024820397,|,-1.50418782770699,12.19418782770699,6.036735493794886,3.156213524755378,3.156213524755376,4.660401352462368,3.156213524755378,0.8602004440963668,1.376334141332518,0.0,2.752668282665036,0.0,9.320802704924736,12.073470987589772
36,|,2.7063341413325235,3.7836658586674776,3.7836658586674714,5.299752849600728,5.299752849600727,5.299752849600728,5.299752849600728,0.8998150294485626,1.1902471503992667,0.0,8.331730052794867,0.0,0.0,8.331730052794867,|,0.8695986475376278,4.660401352462372,4.660401352462368,5.299752849600727,5.299752849600727,5.299752849600727,5.299752849600727,0.828915919078177,0.23024715039926846,0.0,0.9209886015970739,0.0,21.19901139840291,22.119999999999983,|,1.376334141332518,9.31366585866748,6.157452333912091,5.299752849600727,5.299752849600729,5.299752849600727,5.299752849600727,0.8639643525741647,2.2340336256438817,0.0,4.4680672512877635,0.0,10.599505699201455,15.067572950489218
37,|,1.1902471503992667,5.299752849600734,5.299752849600727,4.5966969936649145,4.5966969936649145,4.5966969936649145,4.5966969936649145,0.9021011602107288,1.8933030063350795,0.0,13.253121044345557,0.0,0.0,13.253121044345557,|,0.23024715039926846,5.299752849600732,5.299752849600727,4.5966969936649145,4.5966969936649145,4.5966969936649145,4.5966969936649145,0.8328199036594919,0.9333030063350813,0.0,3.7332120253403254,0.0,18.386787974659658,22.119999999999983,|,2.2340336256438817,8.45596637435612,3.156213524755376,4.5966969936649145,4.596696993664913,4.5966969936649145,4.5966969936649145,0.8670685634814457,0.7935501567343435,0.0,1.587100313468687,0.0,9.193393987329829,10.780494300798516
