t,|i=1,DISR,IO:EXT,IOPL:EXT,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=0,DISR,IO:1,IOPL:EXT,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC
46,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
47,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
48,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
49,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
50,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
51,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
52,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
53,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
54,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
55,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
56,|,False,0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,40.0,0.0,0,40.0,0,0.0,0.0,40.0,|,False,0.0,[0],[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,10.0,0.0,0.0,20.0,0,0.0,0.0,20.0
