t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
28,|,-11.465920786576909,71.46592078657693,59.999999999999986,67.30550515737056,67.30550515737053,59.999999999999986,48.53407921342308,0.9242145403394018,-18.771425943947484,18.771425943947484,0.0,1877.1425943947484,0.0,1877.1425943947484,|,-11.46592078657693,71.46592078657694,61.22740136238137,67.30550515737053,67.30550515737052,61.22740136238137,49.76148057580444,0.9308095380883696,-17.54402458156609,17.54402458156609,0.0,350.88049163132183,612.2740136238137,963.1545052551355,|,-10.23851942419558,70.23851942419559,70.23851942419557,67.30550515737052,67.3055051573705,70.23851942419557,59.99999999999999,0.9563692732412737,-7.305505157370526,7.305505157370526,0.0,0.0,702.3851942419558,702.3851942419558
29,|,-18.771425943947484,78.77142594394748,61.22740136238137,50.70894151736557,50.708941517365574,61.22740136238137,42.45597541843389,0.9214949829376485,-8.25296609893168,8.25296609893168,0.0,825.2966098931679,0.0,825.2966098931679,|,-17.54402458156609,77.54402458156609,70.23851942419557,50.708941517365574,50.708941517365574,68.25296609893167,50.708941517365574,0.9329732219100405,1.9855533252639077,0.0,19.855533252639077,0.0,682.5296609893167,702.3851942419558,|,-7.305505157370526,67.3055051573705,67.3055051573705,50.708941517365574,50.708941517365595,58.0144466747361,50.708941517365574,0.9577336679137095,9.291058482634405,0.0,92.91058482634405,0.0,580.144466747361,673.055051573705
30,|,-8.25296609893168,68.25296609893168,68.25296609893167,49.666260214613374,49.666260214613374,57.91922631354505,49.666260214613374,0.9238280100382368,10.333739785386612,0.0,103.33739785386612,0.0,0.0,103.33739785386612,|,1.9855533252639077,58.01444667473609,58.0144466747361,49.666260214613374,49.666260214613374,49.666260214613374,49.666260214613374,0.9349651365111774,10.333739785386634,0.0,103.33739785386634,0.0,496.66260214613374,600.0000000000001,|,9.291058482634405,50.70894151736559,50.708941517365595,49.666260214613374,49.66626021461338,49.666260214613374,49.666260214613374,0.9589897468484031,10.333739785386626,0.0,103.33739785386626,0.0,496.66260214613374,600.0
31,|,10.333739785386612,49.66626021461339,49.666260214613374,51.65155719810016,51.65155719810016,51.65155719810016,51.65155719810016,0.9261116125880882,8.348442801899829,0.0,83.48442801899829,0.0,0.0,83.48442801899829,|,10.333739785386634,49.66626021461337,49.666260214613374,51.65155719810016,51.65155719810016,51.65155719810016,51.65155719810016,0.9369148529380015,8.34844280189985,0.0,83.4844280189985,0.0,516.5155719810016,600.0000000000001,|,10.333739785386626,49.66626021461337,49.66626021461338,51.65155719810016,51.651557198100164,51.65155719810016,51.65155719810016,0.9602192160891839,8.34844280189985,0.0,83.4844280189985,0.0,516.5155719810016,600.0000000000001
32,|,8.348442801899829,51.651557198100164,51.65155719810016,39.04665673809358,39.04665673809359,39.04665673809358,39.04665673809358,0.9277490666129496,20.953343261906404,0.0,209.53343261906406,0.0,0.0,209.53343261906406,|,8.34844280189985,51.65155719810015,51.65155719810016,39.04665673809359,39.04665673809359,39.04665673809359,39.04665673809359,0.9383128943838078,20.95334326190642,0.0,209.53343261906417,0.0,390.4665673809359,600.0,|,8.34844280189985,51.65155719810016,51.651557198100164,39.04665673809359,39.04665673809358,39.04665673809359,39.04665673809359,0.9611008052943153,20.953343261906426,0.0,209.53343261906426,0.0,390.4665673809359,600.0000000000001
33,|,20.953343261906404,39.046656738093596,39.04665673809359,60.36735493794888,60.36735493794888,59.99999999999999,59.99999999999999,0.9299409276386299,-0.36735493794888896,0.36735493794888896,0.0,36.735493794888896,0.0,36.735493794888896,|,20.95334326190642,39.04665673809358,39.04665673809359,60.36735493794888,60.36735493794888,60.00000000000001,60.00000000000001,0.9401548086210082,-0.36735493794887475,0.36735493794887475,0.0,7.347098758977495,600.0000000000001,607.3470987589776,|,20.953343261906426,39.046656738093574,39.04665673809358,60.36735493794888,60.36735493794888,60.00000000000001,60.00000000000001,0.9621878268531915,-0.36735493794887475,0.36735493794887475,0.0,0.0,600.0000000000001,600.0000000000001
34,|,-0.36735493794888896,60.36735493794889,60.00000000000001,61.57452333912089,61.57452333912089,60.00000000000001,59.63264506205112,0.9312000175493835,-1.941878277069769,1.941878277069769,0.0,194.1878277069769,0.0,194.1878277069769,|,-0.36735493794887475,60.367354937948875,60.00000000000001,61.57452333912089,61.57452333912089,60.00000000000001,59.63264506205113,0.9410800585421736,-1.9418782770697547,1.9418782770697547,0.0,38.837565541395094,600.0000000000001,638.8375655413952,|,-0.36735493794887475,60.36735493794888,60.36735493794888,61.57452333912089,61.57452333912088,60.36735493794888,60.00000000000001,0.9625879281077091,-1.57452333912088,1.57452333912088,0.0,0.0,603.6735493794888,603.6735493794888
35,|,-1.941878277069769,61.94187827706977,60.00000000000001,31.562135247553787,31.562135247553787,33.50401352462356,31.56213524755379,0.9323336843114071,26.49598647537645,0.0,264.9598647537645,0.0,0.0,264.9598647537645,|,-1.9418782770697547,61.941878277069755,60.36735493794888,31.562135247553787,31.562135247553787,33.504013524623545,31.56213524755379,0.9420509247673076,26.86334141332534,0.0,268.6334141332534,0.0,335.0401352462354,603.6735493794888,|,-1.57452333912088,61.57452333912088,61.57452333912088,31.562135247553787,31.562135247553787,33.13665858667467,31.56213524755379,0.9632043937068561,28.437864752446213,0.0,284.3786475244621,0.0,331.36658586674673,615.7452333912088
36,|,26.49598647537645,33.50401352462355,33.504013524623545,52.997528496007284,52.997528496007284,52.997528496007284,52.997528496007284,0.9341555056872719,7.002471503992716,0.0,70.02471503992716,0.0,0.0,70.02471503992716,|,26.86334141332534,33.13665858667466,33.13665858667467,52.997528496007284,52.997528496007284,52.997528496007284,52.997528496007284,0.9436111229677885,7.00247150399273,0.0,70.0247150399273,0.0,529.9752849600728,600.0000000000001,|,28.437864752446213,31.56213524755379,31.562135247553787,52.997528496007284,52.997528496007284,52.997528496007284,52.997528496007284,0.96419506419631,7.002471503992716,0.0,70.02471503992716,0.0,529.9752849600728,600.0
37,|,7.002471503992716,52.99752849600729,52.997528496007284,45.96696993664914,45.966969936649136,45.96696993664914,45.96696993664914,0.9356580177221516,14.033030063350857,0.0,140.33030063350856,0.0,0.0,140.33030063350856,|,7.00247150399273,52.99752849600728,52.997528496007284,45.966969936649136,45.96696993664913,45.966969936649136,45.966969936649136,0.9448978663357586,14.033030063350878,0.0,140.33030063350878,0.0,459.6696993664914,600.0000000000002,|,7.002471503992716,52.99752849600729,52.997528496007284,45.96696993664913,45.96696993664912,45.96696993664913,45.96696993664913,0.9650121005714034,14.033030063350871,0.0,140.33030063350873,0.0,459.6696993664913,600.0
38,|,14.033030063350857,45.96696993664914,45.966969936649136,50.678669635219705,50.678669635219705,50.678669635219705,50.678669635219705,0.9372370151090592,9.321330364780287,0.0,93.21330364780287,0.0,0.0,93.21330364780287,|,14.033030063350878,45.966969936649114,45.96696993664913,50.678669635219705,50.67866963521971,50.678669635219705,50.678669635219705,0.946250111355086,9.321330364780302,0.0,93.21330364780302,0.0,506.78669635219705,600.0000000000001,|,14.033030063350871,45.96696993664913,45.96696993664912,50.67866963521971,50.67866963521971,50.67866963521971,50.67866963521971,0.9658707281706057,9.32133036478028,0.0,93.2133036478028,0.0,506.7866963521971,599.9999999999999
39,|,9.321330364780287,50.67866963521972,50.678669635219705,37.05923247653363,37.05923247653362,37.05923247653363,37.05923247653363,0.9383434788992449,22.940767523466363,0.0,229.40767523466363,0.0,0.0,229.40767523466363,|,9.321330364780302,50.6786696352197,50.67866963521971,37.05923247653362,37.05923247653362,37.05923247653362,37.05923247653362,0.947197681098868,22.94076752346639,0.0,229.4076752346639,0.0,370.59232476533623,600.0000000000001,|,9.32133036478028,50.67866963521972,50.67866963521971,37.05923247653362,37.05923247653362,37.05923247653362,37.05923247653362,0.9664724013308327,22.94076752346637,0.0,229.4076752346637,0.0,370.59232476533623,600.0
