t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
41,|,0.0,[0],0.0,4.0,4.0,"[0, 3.0, 0]",0.0,4.0,0.0,0.07758620689655173,-1.0,0.0,100.0,0.0,100.0,|,0.0,[0],0.0,4.0,3.0,"[0, 4.0, 0]",0.0,3.0,0.0,0.2025862068965517,-1.0,0.0,0.0,0.0,0.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,4.0,0.0,0.49137931034482757,3.0,3.0,0,0.0,3.0
42,|,7.0,[0],7.0,8.0,3.0,"[0, 4.0, 0]",0.0,3.0,2.0,0.08368200836820083,-5.0,0.0,500.0,0.0,500.0,|,7.0,[0],7.0,7.0,4.0,"[0, 3.0, 0]",0.0,4.0,3.0,0.20920502092050208,-4.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,3.0,3.0,0.4895397489539749,-4.0,0,0.0,0.0,0.0
43,|,0,[0],0.0,4.0,4.0,"[0, 3.0, 0]",0.0,4.0,0.0,0.08368200836820083,-1.0,0.0,100.0,0.0,100.0,|,0.0,[0],0.0,4.0,3.0,"[0, 4.0, 0]",0.0,3.0,0.0,0.20920502092050208,-1.0,0.0,0.0,0.0,0.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,4.0,0.0,0.4895397489539749,3.0,3.0,0,0.0,3.0
44,|,3.0,[0],3.0,4.0,3.0,"[0, 4.0, 0]",0.0,3.0,2.0,0.09090909090909091,-1.0,0.0,100.0,0.0,100.0,|,3.0,[0],3.0,3.0,4.0,"[0, 3.0, 0]",0.0,4.0,3.0,0.2190082644628099,0.0,0.0,0,0.0,0.0,|,3.0,[0],3.0,3.0,0.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.49586776859504134,0.0,0,0,0.0,0.0
45,|,5.0,[0],5.0,5.0,4.0,"[0, 3.0, 0]",0.0,4.0,3.0,0.10121457489878542,-2.0,0.0,200.0,0.0,200.0,|,5.0,[0],5.0,5.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.22672064777327935,-2.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,3.0,3.0,0.4979757085020243,-2.0,0,0.0,0.0,0.0
46,|,7.0,[0],7.0,9.0,3.0,"[0, 3.0, 0]",0.0,3.0,1.0,0.10236220472440945,-6.0,0.0,600.0,0.0,600.0,|,7.0,[0],7.0,9.0,3.0,"[0, 5.0, 0]",0.0,3.0,1.0,0.22440944881889763,-6.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,5.0,3.0,0.49606299212598426,-4.0,0,0.0,0.0,0.0
47,|,7.0,[0],7.0,13.0,3.0,"[0, 5.0, 0]",0.0,3.0,0.0,0.09961685823754789,-10.0,0.0,1000.0,0.0,1000.0,|,7.0,[0],7.0,11.0,5.0,"[0, 7.0, 0]",0.0,5.0,0.0,0.21839080459770116,-8.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,3.0,0.4942528735632184,-4.0,0,0.0,0.0,0.0
48,|,8.0,[0],8.0,16.0,5.0,"[0, 7.0, 0]",0.0,5.0,0.0,0.09665427509293681,-13.0,0.0,1300.0,0.0,1300.0,|,8.0,[0],8.0,12.0,7.0,"[0, 7.0, 0]",0.0,7.0,0.0,0.21189591078066913,-9.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,3.0,0.49070631970260226,-5.0,0,0.0,0.0,0.0
49,|,3.0,[0],3.0,12.0,7.0,"[0, 7.0, 0]",0.0,7.0,0.0,0.09558823529411764,-9.0,0.0,900.0,0.0,900.0,|,3.0,[0],3.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,0.0,0.20955882352941177,-5.0,0.0,0.0,0.0,0.0,|,3.0,[0],3.0,3.0,8.0,"[0, 3.0, 0]",0.0,8.0,3.0,0.4963235294117647,0.0,0,0,0.0,0.0
50,|,3.0,[0],3.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,0.0,0.09454545454545454,-5.0,0.0,500.0,0.0,500.0,|,3.0,[0],3.0,3.0,8.0,"[0, 3.0, 0]",0.0,8.0,3.0,0.21818181818181817,0.0,0.0,0,0.0,0.0,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.5018181818181818,0.0,0,0,0.0,0.0
51,|,3.0,[0],3.0,3.0,8.0,"[0, 3.0, 0]",0.0,8.0,3.0,0.10431654676258993,0.0,0.0,0,0.0,0.0,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.22661870503597123,0.0,0.0,0,0.0,0.0,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.5071942446043165,0.0,0,0,0.0,0.0
52,|,8.0,[0],8.0,8.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.11188811188811189,-5.0,0.0,500.0,0.0,500.0,|,8.0,[0],8.0,8.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.23076923076923078,-5.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,3.0,3.0,0.5034965034965035,-5.0,0,0.0,0.0,0.0
53,|,5.0,[0],5.0,10.0,3.0,"[0, 3.0, 0]",0.0,3.0,0.0,0.10996563573883161,-7.0,0.0,700.0,0.0,700.0,|,5.0,[0],5.0,10.0,3.0,"[0, 8.0, 0]",0.0,3.0,0.0,0.2268041237113402,-7.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,8.0,"[0, 5.0, 0]",0.0,8.0,3.0,0.5051546391752577,-2.0,0,0.0,0.0,0.0
54,|,8.0,[0],8.0,15.0,3.0,"[0, 8.0, 0]",0.0,3.0,0.0,0.10702341137123746,-12.0,0.0,1200.0,0.0,1200.0,|,8.0,[0],8.0,10.0,8.0,"[0, 5.0, 0]",0.0,8.0,1.0,0.22408026755852842,-7.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,5.0,3.0,0.5016722408026756,-5.0,0,0.0,0.0,0.0
55,|,4.0,[0],4.0,11.0,8.0,"[0, 5.0, 0]",0.0,8.0,0.0,0.10561056105610561,-8.0,0.0,800.0,0.0,800.0,|,4.0,[0],4.0,9.0,5.0,"[0, 8.0, 0]",0.0,5.0,0.0,0.22112211221122113,-6.0,0.0,0.0,0.0,0.0,|,4.0,[0],4.0,4.0,8.0,"[0, 4.0, 0]",0.0,8.0,3.0,0.504950495049505,-1.0,0,0.0,0.0,0.0
56,|,8.0,[0],8.0,14.0,5.0,"[0, 8.0, 0]",0.0,5.0,0.0,0.10289389067524116,-11.0,0.0,1100.0,0.0,1100.0,|,8.0,[0],8.0,9.0,8.0,"[0, 4.0, 0]",0.0,8.0,2.0,0.22186495176848875,-6.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,4.0,"[0, 8.0, 0]",0.0,4.0,3.0,0.5016077170418006,-5.0,0,0.0,0.0,0.0
