t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
28,|,-2.920471717763254,6.59627311386475,6.596273113864755,6.730550515737057,6.624277401872307,6.596273113864755,3.675801396101501,0.8940251796973513,-3.054749119635556,3.054749119635556,0.0,113.39228732087183,0.0,113.39228732087183,|,0.8327608151021444,5.5399300020458915,3.2609660710330957,6.624277401872307,8.59578518862277,4.09372688613524,4.09372688613524,0.8790204875717087,-2.530550515737067,2.530550515737067,0.0,0.0,16.37490754454096,16.37490754454096,|,-2.2789639310127994,12.017775109055277,10.661688236406786,8.59578518862277,11.518481797330754,10.661688236406786,8.382724305393985,0.8770485903898504,-0.2130608832287848,0.2130608832287848,0.0,0.0,21.32337647281357,21.32337647281357
29,|,-3.054749119635556,6.624277401872301,4.09372688613524,5.070894151736557,4.936616749864256,4.09372688613524,1.0389777664996842,0.8724749597371593,-4.0319163852368725,4.0319163852368725,0.0,149.6647362199927,0.0,149.6647362199927,|,-2.530550515737067,10.874749119635567,10.661688236406786,4.936616749864256,5.0428898637290045,7.467167265601323,4.936616749864256,0.8827742226391995,3.1945209708054625,0.0,12.77808388322185,0.0,29.868669062405292,42.64675294562714,|,-0.2130608832287848,12.874568669979244,1.3560868726484898,5.0428898637290045,3.177655190843293,1.3560868726484898,1.143025989419705,0.8568056037468086,-3.8998638743092995,3.8998638743092995,0.0,0.0,2.7121737452969796,2.7121737452969796
30,|,-4.0319163852368725,7.467167265601317,7.467167265601323,4.966626021461337,3.9894587558600207,7.467167265601323,3.4352508803644506,0.8671016716015746,-1.5313751410968868,1.5313751410968868,0.0,56.84464523751643,0.0,56.84464523751643,|,3.1945209708054625,5.255950746957787,1.3560868726484898,3.9894587558600207,4.123736157732321,3.9894587558600207,3.9894587558600207,0.8856417260722089,0.5611490875939316,0.0,2.2445963503757262,0.0,15.957835023440083,18.20243137381581,|,-3.8998638743092995,14.696136988174047,11.518481797330754,4.123736157732321,4.151740445739872,8.023600032041621,4.1237361577323215,0.8603596621360289,3.4948817652891337,0.0,6.9897635305782675,0.0,16.047200064083242,23.036963594661508
31,|,-1.5313751410968868,3.9894587558600145,3.9894587558600207,5.165155719810016,7.665696963950002,3.9894587558600207,2.458083614763134,0.855373537395635,-2.7070721050468824,2.7070721050468824,0.0,100.48651653934027,0.0,100.48651653934027,|,0.5611490875939316,8.023600032041617,8.023600032041621,7.665696963950002,8.642864229551318,7.665696963950002,7.665696963950002,0.8907755205235475,0.9190521556855513,0.0,3.6762086227422053,0.0,30.66278785580001,34.338996478542214,|,3.4948817652891337,7.329395636583165,3.177655190843293,8.642864229551318,9.485754093280335,6.672536956132427,6.672536956132427,0.8559919313294223,-1.9703272734188912,1.9703272734188912,0.0,0.0,13.345073912264853,13.345073912264853
32,|,-2.7070721050468824,7.665696963949996,7.665696963950002,3.904665673809358,2.7289687098593625,6.611737778856241,3.904665673809358,0.8585786308018934,1.0539591850937615,0.0,7.377714295656331,0.0,0.0,7.377714295656331,|,0.9190521556855513,8.642864229551314,6.672536956132427,2.7289687098593625,0.22842746571937766,2.7289687098593625,2.7289687098593625,0.8924936345107181,4.8626204019586154,0.0,19.450481607834462,0.0,10.91587483943745,30.36635644727191,|,-1.9703272734188912,13.637494539020206,4.151740445739872,0.22842746571937766,0.0,2.198754739138269,0.22842746571937766,0.8561798854569749,1.952985706601603,0.0,3.905971413203206,0.0,4.397509478276538,8.303480891479744
33,|,1.0539591850937615,2.7289687098593562,2.7289687098593625,6.036735493794888,8.74380759884177,3.782927894953124,3.782927894953124,0.8508955976412694,-2.253807598841764,2.253807598841764,0.0,83.66133806900626,0.0,83.66133806900626,|,4.8626204019586154,2.1987547391382654,2.198754739138269,8.74380759884177,9.919504562791765,7.061375141096884,7.061375141096884,0.8884195808674286,-1.682432457744885,1.682432457744885,0.0,0.0,28.245500564387537,28.245500564387537,|,1.952985706601603,9.485754093280335,9.485754093280335,9.919504562791765,10.346461726859818,9.919504562791765,9.919504562791765,0.8638939645150866,1.5192352370901716,0.0,3.038470474180343,0.0,19.83900912558353,22.877479599763873
34,|,-2.253807598841764,8.743807598841762,7.061375141096884,6.157452333912089,3.903644735070327,7.061375141096884,4.8075675422551205,0.8486036189322476,-1.3498847916569687,1.3498847916569687,0.0,50.10772346630667,0.0,50.10772346630667,|,-1.682432457744885,9.919504562791762,9.919504562791765,3.903644735070327,1.196572630023443,5.586077192815212,3.903644735070327,0.8907596670620358,4.333427369976554,0.0,17.333709479906215,0.0,22.34430877126085,39.67801825116706,|,1.5192352370901716,10.346461726859818,0.0,1.196572630023443,0.0,1.196572630023443,1.196572630023443,0.8647689282006434,0.32266260706672867,0.0,0.6453252141334573,0.0,2.393145260046886,3.038470474180343
35,|,-1.3498847916569687,5.586077192815204,5.586077192815212,3.156213524755379,4.060136331940175,4.506098316412348,3.156213524755379,0.8510982859218845,1.0799788764028646,0.0,7.559852134820052,0.0,0.0,7.559852134820052,|,4.333427369976554,1.1965726300234394,1.196572630023443,4.060136331940175,6.313943930781939,4.060136331940175,4.060136331940175,0.8930916523890092,1.4698636680598218,0.0,5.879454672239287,0.0,16.2405453277607,22.119999999999987,|,0.32266260706672867,10.346461726859818,10.346461726859818,6.313943930781939,8.588627195697153,6.313943930781939,6.313943930781939,0.8692056607413519,4.355180403144608,0.0,8.710360806289216,0.0,12.627887861563877,21.338248667853094
36,|,1.0799788764028646,4.060136331940166,4.060136331940175,5.299752849600728,6.649637641257698,5.1401152083430395,5.1401152083430395,0.8542962721044891,-0.15963764125768876,0.15963764125768876,0.0,5.925749243485407,0.0,5.925749243485407,|,1.4698636680598218,6.313943930781935,6.313943930781939,6.649637641257698,5.745714834072901,6.649637641257698,6.649637641257698,0.896703149259572,1.1341699575840627,0.0,4.536679830336251,0.0,26.59855056503079,31.135230395367042,|,4.355180403144608,8.588627195697153,0.0,5.745714834072901,2.58798442804634,4.355180403144608,4.355180403144608,0.8659814078631918,-1.3905344309282928,1.3905344309282928,0.0,0.0,8.710360806289216,8.710360806289216
37,|,-0.15963764125768876,6.649637641257689,6.649637641257698,4.5966969936649145,4.437059352407226,4.756334634922603,4.5966969936649145,0.8576210998972287,1.8933030063350946,0.0,13.253121044345662,0.0,0.0,13.253121044345662,|,1.1341699575840627,5.745714834072897,4.355180403144608,4.437059352407226,3.087174560750256,4.437059352407226,4.437059352407226,0.8989802342522648,1.0522910083214452,0.0,4.209164033285781,0.0,17.748237409628903,21.957401442914684,|,-1.3905344309282928,11.176611623743494,8.588627195697153,3.087174560750256,2.6412125762780825,4.477708991678549,3.087174560750256,0.8680369347412986,4.1109182040186045,0.0,8.221836408037209,0.0,8.955417983357098,17.177254391394307
38,|,1.8933030063350946,4.437059352407218,4.437059352407226,5.067866963521971,5.227504604779659,5.067866963521971,5.067866963521971,0.861115177997624,1.2624953952203493,0.0,8.837467766542446,0.0,0.0,8.837467766542446,|,1.0522910083214452,4.477708991678545,4.477708991678549,5.227504604779659,5.387142246037348,5.227504604779659,5.227504604779659,0.9015374216178009,0.3024953952203351,0.0,1.2099815808813403,0.0,20.910018419118636,22.119999999999976,|,4.1109182040186045,5.229197004324423,2.58798442804634,5.387142246037348,6.896664678952005,5.387142246037348,5.387142246037348,0.8714767650066684,1.311760386027597,0.0,2.623520772055194,0.0,10.774284492074695,13.39780526412989
